STATE_NAME,STATE_CODE,AGE_GROUP,CAUSE_OF_DEATH,TOTAL_DEATHS,TOTAL_POPULATION
District of Columbia,11,65-74 years,COVID-19,206,50219
Ohio,39,85+ years,Stroke,2872,256272
Wisconsin,55,85+ years,Diabetes,377,128309
Maine,23,65-74 years,Chronic Respiratory Diseases,256,169079
Arizona,4,65-74 years,COVID-19,1980,751699
North Carolina,37,35-44 years,Heart Diseases,342,1303427
Arkansas,5,75-84 years,Other Accidents,133,161141
Mississippi,28,75-84 years,Alzheimer & Brain Degeneration Disease,621,145440
New Mexico,35,55-64 years,Influenza & Pneumonia,53,272921
Missouri,29,45-54 years,Cancer,728,732944
Wyoming,56,55-64 years,Motor Vehicle Accidents,15,78754
Maryland,24,65-74 years,Stroke,441,561582
Connecticut,9,75-84 years,Chronic Respiratory Diseases,444,186095
Virginia,51,75-84 years,Influenza & Pneumonia,282,402130
Wisconsin,55,75-84 years,Stroke,661,294186
Texas,48,15-24 years,Stroke,19,4055517
Kentucky,21,35-44 years,Stroke,33,550953
Alabama,1,45-54 years,COVID-19,369,616616
Massachusetts,25,35-44 years,Kidney Disease,12,848373
Maryland,24,75-84 years,Diabetes,367,278421
Montana,30,75-84 years,Chronic Respiratory Diseases,271,58951
California,6,35-44 years,Chronic Respiratory Diseases,58,5282100
Texas,48,35-44 years,Heart Diseases,1052,3942439
Alabama,1,65-74 years,Cancer,3212,501447
Nevada,32,55-64 years,Diabetes,163,383476
Wisconsin,55,55-64 years,Alzheimer & Brain Degeneration Disease,36,823018
Utah,49,75-84 years,Stroke,250,107832
Delaware,10,55-64 years,Heart Diseases,236,137730
Alabama,1,25-34 years,Diabetes,22,647229
Pennsylvania,42,85+ years,Cancer,5579,332112
Oklahoma,40,35-44 years,Chronic Respiratory Diseases,18,497873
Oregon,41,45-54 years,Chronic Respiratory Diseases,41,510127
Nebraska,31,55-64 years,COVID-19,197,242293
Indiana,18,85+ years,Stroke,1352,131069
Washington,53,55-64 years,Other Causes,1805,959608
Tennessee,47,85+ years,Motor Vehicle Accidents,35,121769
Kansas,20,65-74 years,Heart Diseases,1135,272236
Arizona,4,85+ years,Alzheimer & Brain Degeneration Disease,2709,145737
Indiana,18,35-44 years,Influenza & Pneumonia,21,828959
Alabama,1,75-84 years,Motor Vehicle Accidents,54,256847
New York,36,45-54 years,Other Causes,2061,2471804
Oregon,41,75-84 years,Diabetes,313,216944
Washington,53,45-54 years,Other Causes,938,923777
Michigan,26,85+ years,Cancer,3579,213136
West Virginia,54,55-64 years,Diabetes,181,254726
Delaware,10,85+ years,COVID-19,352,20254
Florida,12,55-64 years,Alzheimer & Brain Degeneration Disease,140,2898355
Connecticut,9,45-54 years,Heart Diseases,275,476905
Louisiana,22,25-34 years,Cancer,57,658227
Mississippi,28,85+ years,Stroke,500,52298
Nevada,32,45-54 years,Other Accidents,173,394228
California,6,65-74 years,Stroke,2414,3386670
North Carolina,37,55-64 years,Other Accidents,513,1362125
Texas,48,1-14 years,Other Causes,2076,6157593
Montana,30,55-64 years,Chronic Respiratory Diseases,92,150008
Utah,49,35-44 years,Other Causes,251,443453
Iowa,19,65-74 years,Diabetes,205,311447
Ohio,39,75-84 years,Kidney Disease,696,600805
New York,36,85+ years,Chronic Respiratory Diseases,2376,460001
Colorado,8,55-64 years,Heart Diseases,998,713013
Nebraska,31,85+ years,Other Causes,1537,43058
Ohio,39,65-74 years,Cancer,7217,1189243
Kansas,20,45-54 years,Kidney Disease,27,327961
Louisiana,22,35-44 years,Other Accidents,399,589854
Arkansas,5,45-54 years,Heart Diseases,528,361582
Illinois,17,55-64 years,Motor Vehicle Accidents,179,1658283
New Hampshire,33,55-64 years,Stroke,38,214314
Connecticut,9,35-44 years,Other Accidents,334,427141
Ohio,39,55-64 years,Other Accidents,974,1604683
New Jersey,34,55-64 years,Other Accidents,591,1223649
Kentucky,21,85+ years,Kidney Disease,323,81868
Alaska,2,65-74 years,Diabetes,32,61300
Tennessee,47,75-84 years,Influenza & Pneumonia,345,340228
North Carolina,37,85+ years,Kidney Disease,628,189394
Georgia,13,85+ years,Alzheimer & Brain Degeneration Disease,3360,151069
Missouri,29,25-34 years,Heart Diseases,85,825887
South Dakota,46,65-74 years,Influenza & Pneumonia,19,89216
Michigan,26,75-84 years,Chronic Respiratory Diseases,1862,514685
Michigan,26,35-44 years,Kidney Disease,31,1166172
Texas,48,65-74 years,Kidney Disease,1047,2245028
Minnesota,27,65-74 years,Influenza & Pneumonia,77,531059
New York,36,75-84 years,Other Accidents,616,976223
Mississippi,28,65-74 years,Cancer,1991,288955
Washington,53,25-34 years,Other Accidents,295,1172075
Kansas,20,85+ years,Diabetes,200,65678
Vermont,50,85+ years,Kidney Disease,14,14437
Idaho,16,45-54 years,Motor Vehicle Accidents,36,201766
Oregon,41,35-44 years,Other Accidents,142,568712
Michigan,26,65-74 years,Other Accidents,462,1037580
Rhode Island,44,45-54 years,Heart Diseases,91,135112
Utah,49,45-54 years,Stroke,34,328430
California,6,15-24 years,COVID-19,76,5180973
New Mexico,35,75-84 years,Heart Diseases,1117,111714
North Dakota,38,55-64 years,COVID-19,91,93878
Alabama,1,35-44 years,Other Accidents,249,593306
Louisiana,22,65-74 years,Alzheimer & Brain Degeneration Disease,205,442534
Rhode Island,44,85+ years,COVID-19,702,27512
Kentucky,21,65-74 years,Alzheimer & Brain Degeneration Disease,154,447876
District of Columbia,11,75-84 years,Kidney Disease,11,24882
District of Columbia,11,55-64 years,Cancer,212,69876
Washington,53,75-84 years,Other Accidents,365,339621
Mississippi,28,45-54 years,Kidney Disease,51,362040
Oklahoma,40,25-34 years,COVID-19,24,543593
Texas,48,45-54 years,Heart Diseases,2885,3554098
Arkansas,5,35-44 years,COVID-19,54,370263
Wisconsin,55,45-54 years,Chronic Respiratory Diseases,46,715209
Hawaii,15,75-84 years,Heart Diseases,548,74688
Mississippi,28,35-44 years,Motor Vehicle Accidents,127,365754
Tennessee,47,65-74 years,Chronic Respiratory Diseases,1290,681396
Massachusetts,25,65-74 years,Cancer,3444,673305
Washington,53,85+ years,Motor Vehicle Accidents,22,134578
Illinois,17,25-34 years,Kidney Disease,13,1758096
Utah,49,85+ years,Cancer,561,38574
Colorado,8,65-74 years,Chronic Respiratory Diseases,665,522131
West Virginia,54,75-84 years,Chronic Respiratory Diseases,509,109552
South Carolina,45,45-54 years,Cancer,649,640607
New York,36,65-74 years,Diabetes,1122,1859922
New York,36,55-64 years,Alzheimer & Brain Degeneration Disease,73,2597156
New Hampshire,33,45-54 years,Other Accidents,89,183273
New Jersey,34,85+ years,Other Accidents,473,203104
Oklahoma,40,85+ years,Kidney Disease,181,74163
Wyoming,56,75-84 years,Motor Vehicle Accidents,11,27598
California,6,45-54 years,Kidney Disease,170,4979745
North Carolina,37,65-74 years,Cancer,5941,1046508
Florida,12,85+ years,Chronic Respiratory Diseases,3606,581454
Hawaii,15,55-64 years,Kidney Disease,22,179137
Tennessee,47,35-44 years,Influenza & Pneumonia,32,847658
Washington,53,35-44 years,Diabetes,49,1028141
South Carolina,45,65-74 years,Motor Vehicle Accidents,110,570600
Missouri,29,85+ years,Influenza & Pneumonia,409,133531
Massachusetts,25,85+ years,Chronic Respiratory Diseases,939,159523
Oregon,41,85+ years,Heart Diseases,3341,84538
Indiana,18,55-64 years,Kidney Disease,177,875082
California,6,55-64 years,Stroke,1370,4786635
Massachusetts,25,25-34 years,Other Causes,263,994454
New Hampshire,33,85+ years,COVID-19,372,30241
Georgia,13,35-44 years,COVID-19,197,1380954
Alaska,2,85+ years,Other Accidents,29,7181
Missouri,29,55-64 years,Influenza & Pneumonia,105,830732
Hawaii,15,85+ years,Chronic Respiratory Diseases,121,41668
Ohio,39,45-54 years,Stroke,180,1447581
Massachusetts,25,45-54 years,COVID-19,186,893633
Idaho,16,55-64 years,Heart Diseases,316,218360
New Mexico,35,65-74 years,Other Accidents,109,224483
Georgia,13,45-54 years,Influenza & Pneumonia,70,1399652
Louisiana,22,75-84 years,Heart Diseases,2835,216431
Arkansas,5,55-64 years,Influenza & Pneumonia,70,385994
Idaho,16,75-84 years,Other Causes,795,85030
Delaware,10,45-54 years,Other Causes,68,118881
South Carolina,45,35-44 years,Diabetes,48,620504
Georgia,13,75-84 years,Diabetes,538,439884
North Carolina,37,45-54 years,Chronic Respiratory Diseases,146,1364067
Tennessee,47,25-34 years,COVID-19,36,949656
New Jersey,34,75-84 years,Influenza & Pneumonia,311,439565
Massachusetts,25,75-84 years,Influenza & Pneumonia,276,336504
Oklahoma,40,55-64 years,Alzheimer & Brain Degeneration Disease,54,493694
West Virginia,54,85+ years,Kidney Disease,99,40136
California,6,85+ years,Chronic Respiratory Diseases,4698,749846
Illinois,17,85+ years,Motor Vehicle Accidents,48,266969
Florida,12,65-74 years,Chronic Respiratory Diseases,2852,2465369
Minnesota,27,35-44 years,Cancer,162,725577
North Dakota,38,75-84 years,COVID-19,312,34368
California,6,75-84 years,Other Causes,11390,1701599
Indiana,18,25-34 years,COVID-19,25,890687
Utah,49,65-74 years,Alzheimer & Brain Degeneration Disease,103,219466
Wisconsin,55,65-74 years,Other Accidents,359,594748
Maine,23,55-64 years,Alzheimer & Brain Degeneration Disease,15,211560
Iowa,19,85+ years,COVID-19,1848,78674
Vermont,50,65-74 years,Stroke,37,75206
Kentucky,21,75-84 years,Other Causes,2876,220820
Alabama,1,85+ years,Chronic Respiratory Diseases,702,91543
Pennsylvania,42,75-84 years,Other Causes,7944,707157
Vermont,50,75-84 years,Stroke,62,35396
West Virginia,54,45-54 years,COVID-19,56,229251
Louisiana,22,85+ years,COVID-19,1572,82057
New Jersey,34,35-44 years,Other Accidents,677,1137693
Iowa,19,35-44 years,Other Accidents,98,385215
South Dakota,46,85+ years,Chronic Respiratory Diseases,188,20985
Minnesota,27,75-84 years,Other Causes,2747,266713
Indiana,18,45-54 years,Motor Vehicle Accidents,118,824029
Montana,30,65-74 years,Chronic Respiratory Diseases,172,124631
District of Columbia,11,85+ years,Cancer,204,12242
Connecticut,9,85+ years,Alzheimer & Brain Degeneration Disease,779,91330
Iowa,19,55-64 years,Cancer,1106,415696
Oregon,41,55-64 years,Other Accidents,219,538950
Kentucky,21,55-64 years,Motor Vehicle Accidents,112,598289
Texas,48,75-84 years,Other Causes,10317,1080742
Pennsylvania,42,45-54 years,Other Causes,1739,1604097
Oklahoma,40,75-84 years,Alzheimer & Brain Degeneration Disease,736,192919
Michigan,26,25-34 years,Other Causes,812,1311614
Georgia,13,65-74 years,Other Accidents,343,926001
Hawaii,15,45-54 years,Cancer,159,167747
Delaware,10,65-74 years,Diabetes,62,112858
Arizona,4,35-44 years,Other Causes,582,896027
New Hampshire,33,65-74 years,Heart Diseases,478,152669
Pennsylvania,42,55-64 years,COVID-19,1374,1804883
Louisiana,22,55-64 years,COVID-19,900,604670
Pennsylvania,42,25-34 years,Heart Diseases,132,1709136
Michigan,26,45-54 years,Other Causes,1435,1254679
Delaware,10,75-84 years,Kidney Disease,67,55794
South Dakota,46,75-84 years,Kidney Disease,20,41670
Connecticut,9,65-74 years,Diabetes,177,352819
Montana,30,85+ years,Kidney Disease,50,22855
Nebraska,31,75-84 years,Heart Diseases,897,90492
Florida,12,25-34 years,Kidney Disease,21,2799422
Missouri,29,75-84 years,Other Causes,3302,318341
Massachusetts,25,55-64 years,COVID-19,634,943190
New Jersey,34,25-34 years,Other Causes,354,1152278
Rhode Island,44,55-64 years,Heart Diseases,206,149609
Idaho,16,65-74 years,Other Causes,530,175866
Alabama,1,55-64 years,Kidney Disease,195,657667
Missouri,29,65-74 years,Diabetes,440,610165
Rhode Island,44,75-84 years,Chronic Respiratory Diseases,159,53375
Mississippi,28,55-64 years,Alzheimer & Brain Degeneration Disease,28,385911
South Carolina,45,55-64 years,Alzheimer & Brain Degeneration Disease,54,689144
Maine,23,75-84 years,Influenza & Pneumonia,80,82386
New Hampshire,33,75-84 years,Chronic Respiratory Diseases,252,70954
Hawaii,15,65-74 years,COVID-19,84,152092
Georgia,13,25-34 years,Stroke,25,1493261
Texas,48,85+ years,Stroke,3807,408459
Illinois,17,65-74 years,Motor Vehicle Accidents,122,1176033
Arizona,4,75-84 years,Alzheimer & Brain Degeneration Disease,1250,411197
Virginia,51,85+ years,COVID-19,2008,154485
Arizona,4,45-54 years,Diabetes,177,852090
Virginia,51,35-44 years,Chronic Respiratory Diseases,19,1112496
Colorado,8,45-54 years,COVID-19,183,706150
Tennessee,47,45-54 years,Influenza & Pneumonia,73,871279
Pennsylvania,42,35-44 years,Cancer,379,1513739
New Mexico,35,45-54 years,Other Accidents,187,235656
Idaho,16,85+ years,Influenza & Pneumonia,79,29774
Michigan,26,55-64 years,Influenza & Pneumonia,214,1399535
Colorado,8,35-44 years,Diabetes,30,798071
Florida,12,45-54 years,COVID-19,793,2709395
New Jersey,34,65-74 years,Influenza & Pneumonia,185,832866
Kansas,20,55-64 years,Heart Diseases,697,371505
Wyoming,56,65-74 years,COVID-19,113,60590
Alaska,2,55-64 years,Diabetes,22,93339
Maryland,24,55-64 years,Influenza & Pneumonia,83,818519
Virginia,51,25-34 years,Influenza & Pneumonia,10,1190381
Tennessee,47,55-64 years,Alzheimer & Brain Degeneration Disease,56,894697
Indiana,18,75-84 years,Chronic Respiratory Diseases,1444,317937
Nevada,32,65-74 years,Kidney Disease,75,303363
South Carolina,45,85+ years,Stroke,923,91410
Wisconsin,55,35-44 years,Other Causes,320,713075
North Carolina,37,75-84 years,Influenza & Pneumonia,480,515192
New Mexico,35,85+ years,Heart Diseases,1596,41409
Virginia,51,65-74 years,Diabetes,655,802291
North Dakota,38,85+ years,Diabetes,43,18813
North Dakota,38,65-74 years,Other Causes,140,66664
Virginia,51,45-54 years,Motor Vehicle Accidents,110,1100274
Kentucky,21,25-34 years,Other Accidents,326,587380
New York,36,25-34 years,Cancer,217,2867651
Maryland,24,35-44 years,Motor Vehicle Accidents,82,782213
Colorado,8,85+ years,Other Causes,2838,89921
Connecticut,9,55-64 years,Other Causes,799,513455
Kansas,20,75-84 years,Stroke,316,137573
Ohio,39,35-44 years,Chronic Respiratory Diseases,28,1397808
Oklahoma,40,65-74 years,Influenza & Pneumonia,135,368050
Colorado,8,75-84 years,COVID-19,1250,230360
Maryland,24,45-54 years,Other Causes,1032,795467
North Carolina,37,25-34 years,Motor Vehicle Accidents,308,1416069
West Virginia,54,65-74 years,Alzheimer & Brain Degeneration Disease,71,217323
Ohio,39,25-34 years,Other Causes,781,1554378
South Dakota,46,55-64 years,Influenza & Pneumonia,11,117498
California,6,25-34 years,Kidney Disease,17,6052952
Kentucky,21,45-54 years,Diabetes,154,563662
Utah,49,55-64 years,COVID-19,164,303134
Iowa,19,45-54 years,COVID-19,118,362509
Florida,12,35-44 years,Influenza & Pneumonia,63,2600531
Virginia,51,55-64 years,Cancer,2900,1114417
Nebraska,31,65-74 years,COVID-19,377,178908
Nevada,32,85+ years,Influenza & Pneumonia,107,44816
Georgia,13,55-64 years,Cancer,3723,1307533
New Jersey,34,45-54 years,Influenza & Pneumonia,49,1200823
Rhode Island,44,65-74 years,Heart Diseases,357,106159
Illinois,17,45-54 years,Heart Diseases,1242,1599789
Missouri,29,35-44 years,Cancer,213,753739
Alaska,2,75-84 years,Stroke,47,23107
District of Columbia,11,65-74 years,Stroke,44,50219
Ohio,39,85+ years,Chronic Respiratory Diseases,1718,256272
Wisconsin,55,85+ years,Kidney Disease,438,128309
Maine,23,65-74 years,Other Causes,469,169079
Arizona,4,65-74 years,Kidney Disease,197,751699
North Carolina,37,35-44 years,Kidney Disease,27,1303427
Arkansas,5,75-84 years,Motor Vehicle Accidents,35,161141
Mississippi,28,75-84 years,Heart Diseases,2032,145440
New Mexico,35,55-64 years,COVID-19,433,272921
Missouri,29,45-54 years,Influenza & Pneumonia,45,732944
Wyoming,56,55-64 years,Other Accidents,33,78754
Maryland,24,65-74 years,Alzheimer & Brain Degeneration Disease,128,561582
Connecticut,9,75-84 years,Motor Vehicle Accidents,19,186095
Virginia,51,75-84 years,Other Accidents,398,402130
Wisconsin,55,75-84 years,Chronic Respiratory Diseases,950,294186
Texas,48,15-24 years,Motor Vehicle Accidents,728,4055517
Kentucky,21,35-44 years,Kidney Disease,15,550953
Alabama,1,45-54 years,Influenza & Pneumonia,52,616616
Massachusetts,25,35-44 years,Chronic Respiratory Diseases,11,848373
Maryland,24,75-84 years,Influenza & Pneumonia,196,278421
Montana,30,75-84 years,Cancer,612,58951
California,6,35-44 years,Kidney Disease,75,5282100
Texas,48,35-44 years,Chronic Respiratory Diseases,45,3942439
Alabama,1,65-74 years,Chronic Respiratory Diseases,1028,501447
Nevada,32,55-64 years,Kidney Disease,39,383476
Wisconsin,55,55-64 years,Heart Diseases,1342,823018
Utah,49,75-84 years,Motor Vehicle Accidents,14,107832
Delaware,10,55-64 years,Cancer,373,137730
Alabama,1,25-34 years,COVID-19,43,647229
Pennsylvania,42,85+ years,Influenza & Pneumonia,1123,332112
Oklahoma,40,35-44 years,Influenza & Pneumonia,16,497873
Oregon,41,45-54 years,Stroke,47,510127
Nebraska,31,55-64 years,Heart Diseases,370,242293
Indiana,18,85+ years,Other Accidents,400,131069
Washington,53,55-64 years,Stroke,218,959608
Tennessee,47,85+ years,Heart Diseases,5189,121769
Kansas,20,65-74 years,Stroke,189,272236
Arizona,4,85+ years,Cancer,2048,145737
Indiana,18,35-44 years,Other Accidents,497,828959
Alabama,1,75-84 years,Other Causes,2741,256847
New York,36,45-54 years,Heart Diseases,1653,2471804
Oregon,41,75-84 years,COVID-19,426,216944
Washington,53,45-54 years,Stroke,93,923777
Michigan,26,85+ years,COVID-19,3527,213136
West Virginia,54,55-64 years,Influenza & Pneumonia,37,254726
Delaware,10,85+ years,Diabetes,54,20254
Florida,12,55-64 years,Diabetes,1094,2898355
Connecticut,9,45-54 years,Chronic Respiratory Diseases,23,476905
Louisiana,22,25-34 years,COVID-19,42,658227
Mississippi,28,85+ years,Motor Vehicle Accidents,20,52298
Nevada,32,45-54 years,Influenza & Pneumonia,28,394228
California,6,65-74 years,Other Causes,9178,3386670
North Carolina,37,55-64 years,Kidney Disease,274,1362125
Montana,30,55-64 years,Heart Diseases,266,150008
Utah,49,35-44 years,Cancer,101,443453
Iowa,19,65-74 years,COVID-19,751,311447
Ohio,39,75-84 years,Other Accidents,654,600805
New York,36,85+ years,Cancer,6597,460001
Colorado,8,55-64 years,Stroke,138,713013
Nebraska,31,85+ years,Kidney Disease,125,43058
Ohio,39,65-74 years,Influenza & Pneumonia,349,1189243
Kansas,20,45-54 years,Stroke,43,327961
Louisiana,22,35-44 years,Stroke,36,589854
Arkansas,5,45-54 years,Chronic Respiratory Diseases,74,361582
Illinois,17,55-64 years,Influenza & Pneumonia,210,1658283
New Hampshire,33,55-64 years,Chronic Respiratory Diseases,79,214314
Ohio,39,55-64 years,Alzheimer & Brain Degeneration Disease,88,1604683
New Jersey,34,55-64 years,Influenza & Pneumonia,111,1223649
Kentucky,21,85+ years,Influenza & Pneumonia,260,81868
Alaska,2,65-74 years,Other Accidents,22,61300
Tennessee,47,75-84 years,Stroke,973,340228
North Carolina,37,85+ years,Chronic Respiratory Diseases,1272,189394
Georgia,13,85+ years,Chronic Respiratory Diseases,1118,151069
Missouri,29,25-34 years,Other Accidents,410,825887
South Dakota,46,65-74 years,Stroke,48,89216
Michigan,26,75-84 years,Other Accidents,520,514685
Michigan,26,35-44 years,Heart Diseases,371,1166172
Texas,48,65-74 years,Other Causes,8883,2245028
Minnesota,27,65-74 years,COVID-19,856,531059
New York,36,75-84 years,Alzheimer & Brain Degeneration Disease,1102,976223
Mississippi,28,65-74 years,COVID-19,1134,288955
Washington,53,25-34 years,Stroke,10,1172075
Kansas,20,85+ years,Other Causes,2498,65678
Vermont,50,85+ years,Diabetes,43,14437
Idaho,16,45-54 years,Cancer,131,201766
Michigan,26,65-74 years,Diabetes,828,1037580
Rhode Island,44,45-54 years,Diabetes,14,135112
Utah,49,45-54 years,Heart Diseases,136,328430
California,6,15-24 years,Other Accidents,593,5180973
New Mexico,35,75-84 years,Influenza & Pneumonia,82,111714
North Dakota,38,55-64 years,Other Accidents,40,93878
Alabama,1,35-44 years,Motor Vehicle Accidents,168,593306
Louisiana,22,65-74 years,Heart Diseases,2407,442534
Rhode Island,44,85+ years,Other Accidents,111,27512
Kentucky,21,65-74 years,COVID-19,922,447876
District of Columbia,11,75-84 years,Stroke,71,24882
District of Columbia,11,55-64 years,Heart Diseases,222,69876
Washington,53,75-84 years,Influenza & Pneumonia,191,339621
Mississippi,28,45-54 years,Diabetes,111,362040
Texas,48,45-54 years,Other Accidents,975,3554098
Arkansas,5,35-44 years,Motor Vehicle Accidents,93,370263
Wisconsin,55,45-54 years,Diabetes,82,715209
Hawaii,15,75-84 years,Other Causes,419,74688
Mississippi,28,35-44 years,Influenza & Pneumonia,14,365754
Tennessee,47,65-74 years,Diabetes,574,681396
Massachusetts,25,65-74 years,Kidney Disease,238,673305
Washington,53,85+ years,Cancer,2312,134578
Illinois,17,25-34 years,COVID-19,98,1758096
Utah,49,85+ years,Stroke,401,38574
Colorado,8,65-74 years,Diabetes,318,522131
West Virginia,54,75-84 years,COVID-19,471,109552
South Carolina,45,45-54 years,COVID-19,198,640607
New York,36,65-74 years,Alzheimer & Brain Degeneration Disease,250,1859922
New York,36,55-64 years,Other Accidents,961,2597156
New Hampshire,33,45-54 years,Other Causes,106,183273
New Jersey,34,85+ years,COVID-19,5300,203104
Oklahoma,40,85+ years,COVID-19,1356,74163
Wyoming,56,75-84 years,Influenza & Pneumonia,17,27598
California,6,45-54 years,Influenza & Pneumonia,206,4979745
North Carolina,37,65-74 years,Heart Diseases,4117,1046508
Florida,12,85+ years,Diabetes,1182,581454
Hawaii,15,55-64 years,Cancer,390,179137
Tennessee,47,35-44 years,Other Causes,719,847658
Washington,53,35-44 years,Chronic Respiratory Diseases,13,1028141
South Carolina,45,65-74 years,Chronic Respiratory Diseases,790,570600
Missouri,29,85+ years,Diabetes,316,133531
Massachusetts,25,85+ years,Stroke,1259,159523
Oregon,41,85+ years,Diabetes,253,84538
Indiana,18,55-64 years,Stroke,301,875082
California,6,55-64 years,Other Accidents,1933,4786635
New Hampshire,33,85+ years,Other Causes,1151,30241
Georgia,13,35-44 years,Motor Vehicle Accidents,225,1380954
Alaska,2,85+ years,COVID-19,52,7181
Missouri,29,55-64 years,Other Causes,1839,830732
Hawaii,15,85+ years,COVID-19,98,41668
Ohio,39,45-54 years,COVID-19,346,1447581
Massachusetts,25,45-54 years,Diabetes,82,893633
Idaho,16,55-64 years,Influenza & Pneumonia,25,218360
New Mexico,35,65-74 years,Alzheimer & Brain Degeneration Disease,66,224483
Georgia,13,45-54 years,Alzheimer & Brain Degeneration Disease,11,1399652
Louisiana,22,75-84 years,Motor Vehicle Accidents,59,216431
Arkansas,5,55-64 years,Diabetes,230,385994
Idaho,16,75-84 years,Heart Diseases,825,85030
Delaware,10,45-54 years,Diabetes,20,118881
South Carolina,45,35-44 years,Other Causes,463,620504
Georgia,13,75-84 years,Influenza & Pneumonia,341,439884
North Carolina,37,45-54 years,Stroke,201,1364067
Tennessee,47,25-34 years,Influenza & Pneumonia,11,949656
New Jersey,34,75-84 years,Other Causes,4271,439565
Massachusetts,25,75-84 years,Motor Vehicle Accidents,34,336504
Oklahoma,40,55-64 years,Motor Vehicle Accidents,120,493694
West Virginia,54,85+ years,Diabetes,176,40136
California,6,85+ years,Alzheimer & Brain Degeneration Disease,13570,749846
Illinois,17,85+ years,Influenza & Pneumonia,887,266969
Florida,12,65-74 years,Other Accidents,862,2465369
North Dakota,38,75-84 years,Cancer,352,34368
California,6,75-84 years,Diabetes,2576,1701599
Utah,49,65-74 years,Stroke,137,219466
Wisconsin,55,65-74 years,Alzheimer & Brain Degeneration Disease,184,594748
Maine,23,55-64 years,COVID-19,24,211560
Iowa,19,85+ years,Cancer,1242,78674
Vermont,50,65-74 years,Alzheimer & Brain Degeneration Disease,36,75206
Kentucky,21,75-84 years,Influenza & Pneumonia,223,220820
Alabama,1,85+ years,Alzheimer & Brain Degeneration Disease,1906,91543
Pennsylvania,42,75-84 years,Cancer,7606,707157
Vermont,50,75-84 years,Alzheimer & Brain Degeneration Disease,107,35396
West Virginia,54,45-54 years,Diabetes,60,229251
Louisiana,22,85+ years,Motor Vehicle Accidents,26,82057
New Jersey,34,35-44 years,Kidney Disease,12,1137693
South Dakota,46,85+ years,Diabetes,60,20985
Minnesota,27,75-84 years,Kidney Disease,176,266713
Indiana,18,45-54 years,Other Causes,981,824029
Montana,30,65-74 years,Heart Diseases,449,124631
District of Columbia,11,85+ years,Diabetes,17,12242
Connecticut,9,85+ years,Influenza & Pneumonia,305,91330
Iowa,19,55-64 years,Motor Vehicle Accidents,75,415696
Oregon,41,55-64 years,Cancer,1416,538950
Kentucky,21,55-64 years,Diabetes,319,598289
Texas,48,75-84 years,Motor Vehicle Accidents,232,1080742
Pennsylvania,42,45-54 years,Diabetes,204,1604097
Oklahoma,40,75-84 years,Diabetes,334,192919
Michigan,26,25-34 years,Cancer,100,1311614
Georgia,13,65-74 years,Chronic Respiratory Diseases,1309,926001
Delaware,10,65-74 years,Motor Vehicle Accidents,10,112858
Arizona,4,35-44 years,Chronic Respiratory Diseases,16,896027
New Hampshire,33,65-74 years,COVID-19,124,152669
Pennsylvania,42,55-64 years,Other Causes,3757,1804883
Louisiana,22,55-64 years,Influenza & Pneumonia,96,604670
Pennsylvania,42,25-34 years,Motor Vehicle Accidents,192,1709136
Michigan,26,45-54 years,Influenza & Pneumonia,63,1254679
Delaware,10,75-84 years,Stroke,177,55794
South Dakota,46,75-84 years,Stroke,102,41670
Connecticut,9,65-74 years,Cancer,1671,352819
Montana,30,85+ years,Other Causes,892,22855
Nebraska,31,75-84 years,Alzheimer & Brain Degeneration Disease,263,90492
Florida,12,25-34 years,Other Causes,1334,2799422
Missouri,29,75-84 years,Influenza & Pneumonia,252,318341
Massachusetts,25,55-64 years,Influenza & Pneumonia,89,943190
New Jersey,34,25-34 years,Cancer,79,1152278
Rhode Island,44,55-64 years,Other Causes,123,149609
Idaho,16,65-74 years,Stroke,104,175866
Alabama,1,55-64 years,Cancer,2093,657667
Missouri,29,65-74 years,Other Causes,2348,610165
Rhode Island,44,75-84 years,COVID-19,419,53375
Mississippi,28,55-64 years,Kidney Disease,117,385911
South Carolina,45,55-64 years,Diabetes,303,689144
Maine,23,75-84 years,Other Accidents,126,82386
New Hampshire,33,75-84 years,Alzheimer & Brain Degeneration Disease,192,70954
Hawaii,15,65-74 years,Chronic Respiratory Diseases,77,152092
Georgia,13,25-34 years,Other Accidents,340,1493261
Texas,48,85+ years,Motor Vehicle Accidents,93,408459
Illinois,17,65-74 years,Chronic Respiratory Diseases,1308,1176033
Arizona,4,75-84 years,Other Accidents,434,411197
Virginia,51,85+ years,Other Accidents,561,154485
Arizona,4,45-54 years,COVID-19,540,852090
Virginia,51,35-44 years,COVID-19,68,1112496
Colorado,8,45-54 years,Cancer,437,706150
Tennessee,47,45-54 years,Motor Vehicle Accidents,183,871279
Pennsylvania,42,35-44 years,Influenza & Pneumonia,33,1513739
New Mexico,35,45-54 years,Influenza & Pneumonia,19,235656
Idaho,16,85+ years,Cancer,518,29774
Michigan,26,55-64 years,COVID-19,1265,1399535
Colorado,8,35-44 years,Chronic Respiratory Diseases,11,798071
Florida,12,45-54 years,Kidney Disease,151,2709395
New Jersey,34,65-74 years,Cancer,4152,832866
Kansas,20,55-64 years,Diabetes,159,371505
Wyoming,56,65-74 years,Heart Diseases,230,60590
Maryland,24,55-64 years,Alzheimer & Brain Degeneration Disease,23,818519
Tennessee,47,55-64 years,Diabetes,386,894697
